"Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"Clayton Kershaw","LAD","SP","$ 33,000,000","7 (2014-20)","$ 215,000,000","$ 30,714,286"
"Zack Greinke","ARI","SP","$ 31,799,030","6 (2016-21)","$ 206,500,000","$ 34,416,666"
"David Price","BOS","SP","$ 30,000,000","7 (2016-22)","$ 217,000,000","$ 31,000,000"
"Miguel Cabrera","DET","1B","$ 28,000,000","10 (2014-23)","$ 292,000,000","$ 29,200,000"
"Justin Verlander","DET","SP","$ 28,000,000","7 (2013-19)","$ 180,000,000","$ 25,714,285"
"Yoenis Cespedes","NYM","CF","$ 27,328,046","3 (2016-18)","$ 75,000,000","$ 25,000,000"
"Felix Hernandez","SEA","SP","$ 25,857,143","7 (2013-19)","$ 175,000,000","$ 25,000,000"
"Albert Pujols","LAA","1B","$ 25,000,000","10 (2012-21)","$ 240,000,000","$ 24,000,000"
"Jon Lester","CHC","SP","$ 25,000,000","6 (2015-20)","$ 155,000,000","$ 25,833,333"
"Ryan Howard","PHI","1B","$ 25,000,000","5 (2012-16)","$ 125,000,000","$ 25,000,000"
"CC Sabathia","NYY","SP","$ 25,000,000","5 (2012-16)","$ 122,000,000","$ 24,400,000"
"Robinson Cano","SEA","2B","$ 24,000,000","10 (2014-23)","$ 240,000,000","$ 24,000,000"
"Prince Fielder","TEX","DH","$ 24,000,000","9 (2012-20)","$ 214,000,000","$ 23,777,778"
"Josh Hamilton","TEX","LF","$ 24,000,000","5 (2013-17)","$ 125,000,000","$ 25,000,000"
"Mark Teixeira","NYY","1B","$ 23,125,000","8 (2009-16)","$ 180,000,000","$ 22,500,000"
"Joe Mauer","MIN","1B","$ 23,000,000","8 (2011-18)","$ 184,000,000","$ 23,000,000"
"Hanley Ramirez","BOS","1B","$ 22,750,000","4 (2015-18)","$ 88,000,000","$ 22,000,000"
"Cole Hamels","TEX","SP","$ 22,500,000","6 (2013-18)","$ 144,000,000","$ 24,000,000"
"Max Scherzer","WSH","SP","$ 22,142,857","7 (2015-21)","$ 210,000,000","$ 30,000,000"
"Justin Upton","DET","LF","$ 22,125,000","6 (2016-21)","$ 132,750,000","$ 22,125,000"
"Masahiro Tanaka","NYY","SP","$ 22,000,000","7 (2014-20)","$ 155,000,000","$ 22,142,857"
"Jose Reyes","COL","SS","$ 22,000,000","6 (2012-17)","$ 106,000,000","$ 17,666,666"
"Jayson Werth","WSH","LF","$ 21,733,615","7 (2011-17)","$ 126,000,000","$ 18,000,000"
"Matt Kemp","SD","RF","$ 21,500,000","8 (2012-19)","$ 160,000,000","$ 20,000,000"
"Chris Davis","BAL","1B","$ 21,268,890","7 (2016-22)","$ 161,000,000","$ 23,000,000"
"Jacoby Ellsbury","NYY","CF","$ 21,142,857","7 (2014-20)","$ 153,000,000","$ 21,857,142"
"Alex Rodriguez","NYY","DH","$ 21,000,000","10 (2008-17)","$ 275,000,000","$ 27,500,000"
"Adrian Gonzalez","LAD","1B","$ 21,000,000","7 (2012-18)","$ 154,000,000","$ 22,000,000"
"James Shields","SD","SP","$ 21,000,000","4 (2015-18)","$ 75,000,000","$ 18,750,000"
"Matt Cain","SF","SP","$ 20,833,333","6 (2012-17)","$ 127,500,000","$ 21,250,000"
"Buster Posey","SF","C","$ 20,777,778","9 (2013-21)","$ 167,000,000","$ 18,555,555"
"Carl Crawford","LAD","OF","$ 20,750,000","7 (2011-17)","$ 142,000,000","$ 20,285,714"
"C.J. Wilson","LAA","SP","$ 20,500,000","5 (2012-16)","$ 77,500,000","$ 15,500,000"
"Jered Weaver","LAA","SP","$ 20,200,000","5 (2012-16)","$ 85,000,000","$ 17,000,000"
"Rick Porcello","BOS","SP","$ 20,125,000","4 (2016-19)","$ 82,500,000","$ 20,625,000"
"Joey Votto","CIN","1B","$ 20,000,000","10 (2014-23)","$ 225,000,000","$ 22,500,000"
"Troy Tulowitzki","TOR","SS","$ 20,000,000","10 (2011-20)","$ 157,750,000","$ 15,775,000"
"Shin-Soo Choo","TEX","RF","$ 20,000,000","7 (2014-20)","$ 130,000,000","$ 18,571,429"
"Jason Heyward","CHC","RF","$ 19,555,288","8 (2016-23)","$ 184,000,000","$ 23,000,000"
"Adam Wainwright","STL","SP","$ 19,500,000","5 (2014-18)","$ 97,500,000","$ 19,500,000"
"David Wright","NYM","3B","$ 19,364,801","8 (2013-20)","$ 138,000,000","$ 17,250,000"
"Ryan Braun","MIL","OF","$ 19,315,013","13 (2008-20)","$ 150,000,000","$ 11,538,461"
"Hunter Pence","SF","RF","$ 18,700,000","5 (2014-18)","$ 90,000,000","$ 18,000,000"
"Jordan Zimmermann","DET","SP","$ 18,000,000","5 (2016-20)","$ 110,000,000","$ 22,000,000"
"Homer Bailey","CIN","SP","$ 18,000,000","6 (2014-19)","$ 105,000,000","$ 17,500,000"
"Andre Ethier","LAD","LF","$ 18,000,000","5 (2013-17)","$ 85,000,000","$ 17,000,000"
"Victor Martinez","DET","DH","$ 18,000,000","4 (2015-18)","$ 68,000,000","$ 17,000,000"
"Adrian Beltre","TEX","3B","$ 18,000,000","1 (2016)","$ 18,000,000","$ 18,000,000"
"Pablo Sandoval","BOS","3B","$ 17,600,000","5 (2015-19)","$ 95,000,000","$ 19,000,000"
"Johnny Cueto","SF","SP","$ 17,500,000","6 (2016-21)","$ 130,000,000","$ 21,666,666"
"Carlos Gonzalez","COL","RF","$ 17,428,571","7 (2011-17)","$ 80,000,000","$ 11,428,571"
"Matt Holliday","STL","LF","$ 17,000,000","7 (2010-16)","$ 120,000,000","$ 17,142,857"
"Brian McCann","NYY","C","$ 17,000,000","5 (2014-18)","$ 85,000,000","$ 17,000,000"
"Anibal Sanchez","DET","SP","$ 16,800,000","5 (2013-17)","$ 80,000,000","$ 16,000,000"
"Adam Jones","BAL","OF","$ 16,329,674","6 (2013-18)","$ 85,500,000","$ 14,250,000"
"Mike Trout","LAA","CF","$ 16,083,333","6 (2015-20)","$ 144,500,000","$ 24,083,333"
"Curtis Granderson","NYM","CF","$ 16,000,000","4 (2014-17)","$ 60,000,000","$ 15,000,000"
"John Lackey","CHC","SP","$ 16,000,000","2 (2016-17)","$ 32,000,000","$ 16,000,000"
"David Ortiz","BOS","DH","$ 16,000,000","1 (2016)","$ 16,000,000","$ 16,000,000"
"Brett Anderson","LAD","SP","$ 15,800,000","1 (2016)","$ 15,800,000","$ 15,800,000"
"Colby Rasmus","HOU","LF","$ 15,800,000","1 (2016)","$ 15,800,000","$ 15,800,000"
"Matt Wieters","BAL","C","$ 15,800,000","1 (2016)","$ 15,800,000","$ 15,800,000"
"John Danks","CWS","SP","$ 15,750,000","5 (2012-16)","$ 65,000,000","$ 13,000,000"
"Melvin Upton Jr.","SD","LF","$ 15,450,000","5 (2013-17)","$ 72,500,000","$ 14,500,000"
"Elvis Andrus","TEX","SS","$ 15,333,333","8 (2015-22)","$ 120,000,000","$ 15,000,000"
"Russell Martin","TOR","C","$ 15,000,000","5 (2015-19)","$ 82,000,000","$ 16,400,000"
"Carlos Beltran","NYY","RF","$ 15,000,000","3 (2014-16)","$ 45,000,000","$ 15,000,000"
"Jake Peavy","SF","SP","$ 15,000,000","2 (2015-16)","$ 24,000,000","$ 12,000,000"
"Scott Kazmir","LAD","SP","$ 14,985,384","3 (2016-18)","$ 48,000,000","$ 16,000,000"
"Nelson Cruz","SEA","DH","$ 14,250,000","4 (2015-18)","$ 57,000,000","$ 14,250,000"
"Yadier Molina","STL","C","$ 14,200,000","5 (2013-17)","$ 75,000,000","$ 15,000,000"
"Ryan Zimmerman","WSH","1B","$ 14,000,000","6 (2014-19)","$ 100,000,000","$ 16,666,666"
"Ian Kinsler","DET","2B","$ 14,000,000","5 (2013-17)","$ 75,000,000","$ 15,000,000"
"Miguel Montero","CHC","C","$ 14,000,000","5 (2013-17)","$ 60,000,000","$ 12,000,000"
"Melky Cabrera","CWS","LF","$ 14,000,000","3 (2015-17)","$ 42,000,000","$ 14,000,000"
"Jose Bautista","TOR","RF","$ 14,000,000","1 (2016)","$ 14,000,000","$ 14,000,000"
"Francisco Liriano","PIT","SP","$ 13,666,667","3 (2015-17)","$ 39,000,000","$ 13,000,000"
"Ervin Santana","MIN","SP","$ 13,500,000","4 (2015-18)","$ 55,000,000","$ 13,750,000"
"Brett Gardner","NYY","LF","$ 13,500,000","4 (2015-18)","$ 52,000,000","$ 13,000,000"
"Andrew McCutchen","PIT","CF","$ 13,208,333","6 (2012-17)","$ 51,500,000","$ 8,583,333"
"Brandon Phillips","CIN","2B","$ 13,083,333","6 (2012-17)","$ 72,500,000","$ 12,083,333"
"Matt Harrison","PHI","SP","$ 13,000,000","5 (2013-17)","$ 55,000,000","$ 11,000,000"
"Chase Headley","NYY","3B","$ 13,000,000","4 (2015-18)","$ 52,000,000","$ 13,000,000"
"Clay Buchholz","BOS","SP","$ 13,000,000","1 (2016)","$ 13,000,000","$ 13,000,000"
"Ubaldo Jimenez","BAL","P","$ 12,673,102","4 (2014-17)","$ 50,000,000","$ 12,500,000"
"Dustin Pedroia","BOS","2B","$ 12,642,511","8 (2014-21)","$ 110,000,000","$ 13,750,000"
"Evan Longoria","TB","3B","$ 12,600,018","10 (2013-22)","$ 136,000,000","$ 13,600,000"
"Jay Bruce","CIN","OF","$ 12,541,666","6 (2011-16)","$ 51,000,000","$ 8,500,000"
"Wei-Yin Chen","MIA","SP","$ 12,500,000","5 (2016-20)","$ 80,000,000","$ 16,000,000"
"Jhonny Peralta","STL","SS","$ 12,500,000","4 (2014-17)","$ 53,000,000","$ 13,250,000"
"Brandon McCarthy","LAD","SP","$ 12,500,000","4 (2015-18)","$ 48,000,000","$ 12,000,000"
"Jorge De La Rosa","COL","SP","$ 12,500,000","2 (2015-16)","$ 25,000,000","$ 12,500,000"
"Freddie Freeman","ATL","1B","$ 12,359,375","8 (2014-21)","$ 135,000,000","$ 16,875,000"
"Matt Garza","MIL","SP","$ 12,209,424","4 (2014-17)","$ 50,000,000","$ 12,500,000"
"J.J. Hardy","BAL","SS","$ 12,209,424","3 (2015-17)","$ 40,000,000","$ 13,333,333"
"Gio Gonzalez","WSH","SP","$ 12,100,000","5 (2012-16)","$ 42,000,000","$ 8,400,000"
"Mike Leake","STL","SP","$ 12,000,000","5 (2016-20)","$ 80,000,000","$ 16,000,000"
"Alex Gordon","KC","LF","$ 12,000,000","4 (2016-19)","$ 72,000,000","$ 18,000,000"
"Ricky Nolasco","MIN","SP","$ 12,000,000","4 (2014-17)","$ 49,000,000","$ 12,250,000"
"Aaron Hill","MIL","3B","$ 12,000,000","3 (2014-16)","$ 35,000,000","$ 11,666,667"
"R.A. Dickey","TOR","SP","$ 12,000,000","1 (2016)","$ 25,000,000","$ 25,000,000"
"Jose Abreu","CWS","1B","$ 11,666,667","6 (2014-19)","$ 68,000,000","$ 11,333,333"
"Billy Butler","OAK","DH","$ 11,666,667","3 (2015-17)","$ 30,000,000","$ 10,000,000"
"Josh Donaldson","TOR","3B","$ 11,650,000","2 (2016-17)","$ 28,650,000","$ 14,325,000"
"Marco Estrada","TOR","SP","$ 11,500,000","2 (2016-17)","$ 26,000,000","$ 13,000,000"
"Jaime Garcia","STL","SP","$ 11,500,000","1 (2016)","$ 11,500,000","$ 11,500,000"
"Rusney Castillo","BOS","RF","$ 11,400,000","7 (2014-20)","$ 72,500,000","$ 10,357,142"
"Angel Pagan","SF","LF","$ 11,250,000","4 (2013-16)","$ 40,000,000","$ 10,000,000"
"David Robertson","CWS","RP","$ 11,000,000","4 (2015-18)","$ 46,000,000","$ 11,500,000"
"Nick Markakis","ATL","RF","$ 11,000,000","4 (2015-18)","$ 44,000,000","$ 11,000,000"
"Craig Kimbrel","BOS","RP","$ 11,000,000","4 (2014-17)","$ 42,000,000","$ 10,500,000"
"Martin Prado","MIA","3B","$ 11,000,000","4 (2013-16)","$ 40,000,000","$ 10,000,000"
"Coco Crisp","OAK","CF","$ 11,000,000","2 (2015-16)","$ 22,000,000","$ 11,000,000"
"Hisashi Iwakuma","SEA","SP","$ 10,976,096","1 (2016)","$ 10,976,096","$ 10,976,096"
"Jonathan Papelbon","WSH","RP","$ 10,936,574","1 (2016)","$ 10,936,574","$ 10,936,574"
"Jeff Samardzija","SF","SP","$ 10,800,000","5 (2016-20)","$ 90,000,000","$ 18,000,000"
"Jake Arrieta","CHC","SP","$ 10,700,000","1 (2016)","$ 10,700,000","$ 10,700,000"
"Kenley Jansen","LAD","RP","$ 10,650,000","1 (2016)","$ 10,650,000","$ 10,650,000"
"Neil Walker","NYM","2B","$ 10,550,000","1 (2016)","$ 10,550,000","$ 10,550,000"
"Ben Zobrist","CHC","2B","$ 10,500,000","4 (2016-19)","$ 56,000,000","$ 14,000,000"
"Stephen Strasburg","WSH","SP","$ 10,400,000","1 (2016)","$ 10,400,000","$ 10,400,000"
"Yu Darvish","TEX","SP","$ 10,000,000","6 (2012-17)","$ 56,000,000","$ 9,333,333"
"J.A. Happ","TOR","SP","$ 10,000,000","3 (2016-18)","$ 36,000,000","$ 12,000,000"
"Derek Holland","TEX","SP","$ 10,000,000","5 (2012-16)","$ 28,500,000","$ 5,700,000"
"Edwin Encarnacion","TOR","DH","$ 10,000,000","1 (2016)","$ 10,000,000","$ 10,000,000"
"Madison Bumgarner","SF","SP","$ 9,916,667","5 (2013-17)","$ 35,000,000","$ 7,000,000"
"Mark Melancon","PIT","RP","$ 9,650,000","1 (2016)","$ 9,650,000","$ 9,650,000"
"Tyson Ross","SD","SP","$ 9,625,000","1 (2016)","$ 9,625,000","$ 9,625,000"
"Howie Kendrick","LAD","2B","$ 9,540,378","2 (2016-17)","$ 20,000,000","$ 10,000,000"
"Edinson Volquez","KC","SP","$ 9,500,000","2 (2015-16)","$ 20,000,000","$ 10,000,000"
"Aroldis Chapman","NYY","RP","$ 9,468,443","1 (2016)","$ 11,325,000","$ 11,325,000"
"Phil Hughes","MIN","SP","$ 9,200,000","5 (2015-19)","$ 58,000,000","$ 11,600,000"
"Chris Sale","CWS","SP","$ 9,150,000","5 (2013-17)","$ 32,500,000","$ 6,500,000"
"Mark Trumbo","BAL","RF","$ 9,150,000","1 (2016)","$ 9,150,000","$ 9,150,000"
"Giancarlo Stanton","MIA","RF","$ 9,000,000","13 (2015-27)","$ 325,000,000","$ 25,000,000"
"Andrew Miller","NYY","RP","$ 9,000,000","4 (2015-18)","$ 36,000,000","$ 9,000,000"
"Jon Niese","PIT","SP","$ 9,000,000","5 (2012-16)","$ 25,519,500","$ 5,103,900"
"Carlos Gomez","HOU","CF","$ 9,000,000","3 (2014-16)","$ 24,000,000","$ 8,000,000"
"Jason Hammel","CHC","P","$ 9,000,000","2 (2015-16)","$ 20,000,000","$ 10,000,000"
"Koji Uehara","BOS","P","$ 9,000,000","2 (2015-16)","$ 18,000,000","$ 9,000,000"
"Kendrys Morales","KC","DH","$ 9,000,000","2 (2015-16)","$ 17,000,000","$ 8,500,000"
"Sergio Romo","SF","RP","$ 9,000,000","2 (2015-16)","$ 15,000,000","$ 7,500,000"
"Yovani Gallardo","BAL","SP","$ 8,728,776","2 (2016-17)","$ 22,000,000","$ 11,000,000"
"Erick Aybar","ATL","SS","$ 8,500,000","4 (2013-16)","$ 35,000,000","$ 8,750,000"
"Jason Vargas","KC","SP","$ 8,500,000","4 (2014-17)","$ 32,000,000","$ 8,000,000"
"Carlos Ruiz","PHI","C","$ 8,500,000","3 (2014-16)","$ 26,000,000","$ 8,666,666"
