Under five mortality,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,468.58,468.58,468.58,468.58,468.58,468.58,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,482.81,482.77,482.69,482.57,482.38,482.11,481.77,481.36,480.87,480.3,481.08,480.36,479.57,478.69,477.75,476.74,475.68,474.58,473.45,472.32,472.57,471.43,470.29,469.15,468.14,467.14,466.14,465.13,464.12,463.11,463.5,462.49,461.46,460.45,459.44,458.42,457.4,456.39,455.36,455.71,454.7,453.67,452.64,451.63,450.6,449.57,448.55,447.52,446.49,446.8,445.76,444.73,443.7,442.66,441.63,440.59,439.56,435.9,426.11,416.55,407.2,398.07,389.13,380.4,374.1,368.1,362.4,356.5,350.6,345,339.7,334.1,328.7,323.3,318.1,313,307.8,302.1,296.4,290.8,284.9,279.4,273.6,267.8,261.6,255.5,249.1,242.7,236.2,229.7,222.9,216,209.2,202.1,195,187.8,181,174.2,167.8,162,156.8,152.3,148.6,145.5,142.6,139.9,137,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.19,375.16,375.1,375.01,374.86,374.65,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,358.91,358.03,357.15,356.27,355.39,354.51,353.63,352.75,351.87,340.97,330.3,319.85,309.61,299.59,289.77,280.14,270.71,261.46,253.42,244.61,235.96,227.48,219.16,211,203,195.16,187.45,179.89,172.44,165.17,161.7,158.3,154.97,151.71,148.52,145.4,142.34,139.35,136.42,133.55,130.74,127.99,125.3,122.67,120.09,117.56,115.09,112.67,110.3,107.98,105.71,103.49,101.31,99.18,97.1,95.06,93.06,91.1,84.7,78.6,73,67.8,62.8,58.3,54.3,50.7,47.6,44.9,42.5,40.6,38.8,37.3,36,34.6,33.2,31.8,30.3,28.9,27.5,26.2,24.9,23.6,22.5,21.5,20.5,19.5,18.7,17.9,17.3,16.6,16,15.5,14.9,14.4,14
Algeria,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.19,460.16,460.09,459.97,459.79,459.53,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.9,446.01,445.13,444.24,443.35,442.45,441.56,440.67,439.77,434.91,431.43,427.96,423.2,419.75,415.11,411.75,408.38,403.77,400.49,396,391.53,385.9,381.53,377.18,372.87,368.61,364.38,363.59,362.81,362.02,349.31,337.04,325.2,313.78,302.76,292.13,281.87,271.97,262.42,253.2,251.6,250.1,249,247.7,246.4,245.7,245.9,246.3,246.7,247.3,248.2,248.9,248.9,248,245.8,242.2,237.3,230.9,223.4,214.9,205.5,195.7,185.1,173.9,161.7,148,132.6,115.9,98.9,83.6,71.2,61.9,55.3,51.2,48.6,46.9,45.8,45,44.2,43.5,42.6,41.8,41.2,40.7,40.2,39.7,38.9,37.8,36.5,35.1,33.6,32.1,30.7,29.5,28.4,27.4,26.6,25.8,25.2,24.6,24
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.9,7.4,6.9,6.4,6,5.7,5.3,5,4.8,4.6,4.4,4.2,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8
Angola,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.67,485.63,485.55,485.43,485.24,484.97,484.63,484.21,483.72,483.15,482.5,481.78,480.98,480.11,479.16,478.15,477.08,475.98,474.85,473.71,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,461.18,460.04,458.9,457.76,456.62,455.48,454.34,453.2,452.06,450.92,449.78,448.64,447.5,446.36,445.22,444.08,442.94,439.3,435.67,432.05,427.15,423.59,420.07,416.56,411.81,408.33,404.92,401.53,395.72,389.48,382.83,375.72,368.3,360.45,352.25,344.18,336.18,328.34,320.56,312.85,305.2,297.55,289.99,282.4,275.28,268.59,262.29,259.32,256.39,253.49,250.63,247.79,244.99,242.22,239.48,236.78,234.1,232.8,231.5,230.2,229.1,228.3,227.5,226.9,226.5,226.2,226,225.9,226,225.8,225.5,224.8,224,222.6,220.8,218.9,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,473.6,469.77,465.97,462.2,458.47,454.76,451.08,447.43,443.82,440.23,436.67,433.14,429.63,426.16,422.71,419.3,415.91,412.54,409.21,405.9,402.62,399.36,396.13,392.93,389.75,386.6,383.47,380.37,377.3,374.24,371.22,368.22,365.24,362.29,359.36,356.45,353.57,350.71,347.87,345.06,342.27,339.5,336.76,334.03,331.33,328.65,326,323.36,320.75,318.15,315.58,313.03,310.5,307.99,305.49,303.02,300.57,298.14,295.73,293.34,290.97,288.62,286.28,283.97,281.67,279.39,277.13,274.89,272.67,270.47,268.28,266.11,263.96,261.82,259.71,257.61,255.52,253.46,251.41,249.37,247.36,245.36,243.37,241.41,239.45,237.52,235.6,233.69,231.8,229.93,228.07,226.22,224.39,222.58,220.78,219,217.22,215.47,213.73,212,210.28,208.58,206.9,205.22,203.56,201.92,200.28,198.67,197.06,195.47,193.88,192.32,190.76,189.22,187.69,186.17,184.67,183.17,181.69,180.22,178.76,177.32,175.89,174.46,173.05,171.65,170.27,168.89,167.52,166.17,164.82,163.49,162.17,160.86,159.56,158.27,156.99,155.72,154.46,153.21,151.97,149.7,147.46,145.25,143.06,140.9,138.76,136.65,134.56,132.5,130.47,127.2,122.71,118.18,113.6,109,104.97,100.34,95.72,91.26,87.45,83.25,79.65,76.18,72.78,69.91,66.69,63.53,60.97,58.16,55.87,53.73,51.35,49.44,47.58,45.77,43.98,42.22,40.83,39.16,37.53,36.01,34.55,33.16,31.83,30.54,29.32,28.14,27.01,25.93,25.5,24.2,23.1,21.9,20.8,19.7,18.8,17.9,17,16.2,15.5,14.8,14.1,13.5,12.9,12.4,11.8,11.3,10.9,10.4,9.9,9.5,9.1,8.7,8.4,8.1
